id,name,types,primaryType,primaryTypeDisplayName,businessStatus,pureServiceAreaBusiness,formattedAddress,location,city
ChIJa-AaGuOfnkcRc5OmT3p3yuA,"{'text': 'Cervus Bayerische Brasserie', 'languageCode': 'de'}","['restaurant', 'bar', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Bürgermeister-Wohlfarth-Straße 78, 86343 Königsbrunn, Germany","{'latitude': 48.2677208, 'longitude': 10.8868121}",Augsburg
ChIJ0z9U5kGfnkcRzYGI9qJXcmE,"{'text': ""Harry's Pizza-China-Service"", 'languageCode': 'de'}","['meal_delivery', 'food_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",meal_delivery,"{'text': 'Meal delivery', 'languageCode': 'en'}",OPERATIONAL,,"Landsberger Str. 5, 86343 Königsbrunn, Germany","{'latitude': 48.2636463, 'longitude': 10.8855984}",Augsburg
ChIJ7a3GNkGfnkcRKMXwnFAcuaE,"{'text': 'Restaurant Gordion', 'languageCode': 'de'}","['steak_house', 'bar_and_grill', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",steak_house,"{'text': 'Steak house', 'languageCode': 'en'}",OPERATIONAL,,"Rathausstraße 2, 86343 Königsbrunn, Germany","{'latitude': 48.2675692, 'longitude': 10.887878800000001}",Augsburg
ChIJB9gvFbCfnkcRK7Fr0fMBCk8,"{'text': 'Restaurant Vesuvio', 'languageCode': 'de'}","['italian_restaurant', 'fast_food_restaurant', 'meal_delivery', 'food_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",italian_restaurant,"{'text': 'Italian restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Landsberger Str. 11, 86343 Königsbrunn, Germany","{'latitude': 48.2627343, 'longitude': 10.8851844}",Augsburg
ChIJ70HcXbqenkcRLVuR17jpkz0,"{'text': 'Restaurant Waldgaststätte Friedenau', 'languageCode': 'de'}","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Friedenaustraße 22, 86415 Mering, Germany","{'latitude': 48.26542, 'longitude': 10.95304}",Augsburg
ChIJedXTLgChnkcRlkzMrRBSW6k,"{'text': 'Taj Mahal Bobingen', 'languageCode': 'en'}","['indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",indian_restaurant,"{'text': 'Indian restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Winterstraße 20c, 86399 Bobingen, Germany","{'latitude': 48.272749999999995, 'longitude': 10.799439999999999}",Augsburg
ChIJM12t5ZWhnkcRMJr5mFeUtkQ,"{'text': 'Restaurant Meydan', 'languageCode': 'de'}","['turkish_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",turkish_restaurant,"{'text': 'Turkish restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Pestalozzistraße 2, 86399 Bobingen, Germany","{'latitude': 48.269363999999996, 'longitude': 10.8330258}",Augsburg
ChIJH6aUGpahnkcR16NjRgJridg,"{'text': ""Restaurant Niko's"", 'languageCode': 'de'}","['greek_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",greek_restaurant,"{'text': 'Greek restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Rathausstraße 5, 86399 Bobingen, Germany","{'latitude': 48.268692099999996, 'longitude': 10.8329387}",Augsburg
ChIJM6hL872hnkcRlyogB5hnxYk,"{'text': 'Bakery pastry Balletshofer GmbH', 'languageCode': 'en'}","['bakery', 'breakfast_restaurant', 'cafe', 'food_store', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",bakery,"{'text': 'Bakery', 'languageCode': 'en'}",OPERATIONAL,,"Hochstraße 1, 86399 Bobingen, Germany","{'latitude': 48.2689193, 'longitude': 10.831390299999999}",Augsburg
ChIJb-l_S82hnkcRwlKr5dIjAMg,"{'text': 'OSKAR Bar&Bistro', 'languageCode': 'de'}","['restaurant', 'breakfast_restaurant', 'food', 'point_of_interest', 'establishment']",restaurant,"{'text': 'Restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Bischof-Ulrich-Straße 2, 86399 Bobingen, Germany","{'latitude': 48.276317899999995, 'longitude': 10.840466099999999}",Augsburg
ChIJz8ZSeg2hnkcRT7uUxqBfdfM,"{'text': 'Edessa Bobingen', 'languageCode': 'en'}","['turkish_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",turkish_restaurant,"{'text': 'Turkish restaurant', 'languageCode': 'en'}",OPERATIONAL,,"Glockerweg 7, 86399 Bobingen, Germany","{'latitude': 48.27621, 'longitude': 10.841030499999999}",Augsburg
ChIJv12ScpahnkcRvoz2HOD250s,"{'text': 'Café Kanape', 'languageCode': 'de'}","['cafe', 'breakfast_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",cafe,"{'text': 'Cafe', 'languageCode': 'en'}",OPERATIONAL,,"Pestalozzistraße 1, 86399 Bobingen, Germany","{'latitude': 48.2695363, 'longitude': 10.833490099999999}",Augsburg
