restaurant_id,city_id,name,primary_type,types,business_status,pure_service_area,address,lat_value,long_value
ChIJuWxXAAjZnUcRKF8NwyCcExE,6,Ristorante Pizzeria Molisana,italian_restaurant,"['italian_restaurant', 'restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Am Sportpark 4, 82061 Neuried, Germany",48.087450499999996,11.462476700000002
ChIJJSF9_t7ZnUcR_8CxOcNiIjE,6,leonardi am Toni Campus,restaurant,"['restaurant', 'point_of_interest', 'food', 'establishment']",OPERATIONAL,,"Anna-Sigmund-Str. 10, 82061 Neuried, Germany",48.089416799999995,11.4697701
ChIJx16qluzZnUcRJalaL94Hwas,6,REWE To Go bei Aral,supermarket,"['supermarket', 'bakery', 'grocery_store', 'coffee_shop', 'cafe', 'restaurant', 'point_of_interest', 'food_store', 'store', 'food', 'establishment']",OPERATIONAL,,"Aral, Forstenrieder Str. 26, 82061 Neuried, Germany",48.0911198,11.469000699999999
ChIJv3xcBL3ZnUcR9369Kp0-N1Q,6,Vinzenzmurr Metzgerei - Neuried,butcher_shop,"['butcher_shop', 'fast_food_restaurant', 'grocery_store', 'restaurant', 'point_of_interest', 'food_store', 'store', 'food', 'establishment']",OPERATIONAL,,"Hainbuchenring 13, 82061 Neuried, Germany",48.0881231,11.4610161
ChIJS3akj7fZnUcRzXxx8qtJV5w,6,Cori & Amori Osteria Moderna,italian_restaurant,"['italian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Königswieser Str. 106, 81475 München, Germany",48.0850508,11.4787255
ChIJ5eaLESHZnUcR_0xmsZYCnvg,6,Gasthaus Maxhof,restaurant,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Mühlthaler Str. 91, 81475 München, Germany",48.086389999999994,11.47858
ChIJUX92DOjZnUcRCXw-teRUy1Y,6,Mike’s Burger,hamburger_restaurant,"['hamburger_restaurant', 'american_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Steinkirchner Str. 31, 81475 München, Germany",48.0884316,11.4779909
ChIJb8tLTDTZnUcRsKIJgotoI9s,6,Mike's Pizza Fürstenried,meal_delivery,"['pizza_restaurant', 'meal_delivery', 'food_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Steinkirchner Str. 31, 81475 München, Germany",48.0884316,11.4779909
ChIJgWo6YwnZnUcRvS2KIfUHxrc,6,Ratschiller’s Engadinerstr.,bakery,"['bakery', 'breakfast_restaurant', 'restaurant', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Engadiner Str. 2, 81475 München, Germany",48.0891981,11.4804725
ChIJPetAtlzZnUcRSwiEJfv7sLo,6,Hertel Hähnchen Food-Truck,meal_takeaway,"['catering_service', 'food_delivery', 'meal_takeaway', 'fast_food_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Graubündener Straße, WOCHENMARKT, Schweizer Pl., 81475 München, Germany",48.0890633,11.480143100000001
ChIJJVGDNwzZnUcR98EZCRIBO04,6,UNA Restaurant,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Neurieder Str. 16, 81475 München, Germany",48.087482699999995,11.4845321
ChIJq2tuAvj-CEERd2muoSmJYzc,6,Da Antonio München,italian_restaurant,"['italian_restaurant', 'pizza_restaurant', 'meal_delivery', 'food_delivery', 'meal_takeaway', 'restaurant', 'food_store', 'store', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Basler Str. 66A, 81476 München, Germany",48.091482,11.490181999999999
ChIJIe8TOAzZnUcRHnLgdYebCNc,6,München's Kebap House,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Neurieder Str. 16, 81475 München, Germany",48.087391499999995,11.4845434
ChIJP9ZEhBTZnUcRHXU1K_tCopo,6,Alter Wirt,restaurant,"['restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Forstenrieder Allee 187, 81476 München, Germany",48.0843667,11.4949133
ChIJC3SV53XZnUcRT_n5JuQERxU,6,Indisch Curry Service,indian_restaurant,"['indian_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Forstenrieder Allee 195, 81476 München, Germany",48.0833726,11.4944968
ChIJrao6uxTZnUcRfYgiv5YAKlk,6,Amore Pizza & Grill,meal_delivery,"['fast_food_restaurant', 'meal_delivery', 'food_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Forstenrieder Allee 195, 81476 München, Germany",48.0833746,11.494499
ChIJU9LaQADZnUcRmASZQ7JDHi0,6,T. Tang Vietnamese Fusion Kitchen,vietnamese_restaurant,"['vietnamese_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Drygalski-Allee 118, 81477 München, Germany",48.0824295,11.503149299999999
ChIJMYnSdObZnUcRt6x1KxShzFQ,6,Sushi Fujikaiten Liefer- und Abholservice Solln,meal_takeaway,"['sushi_restaurant', 'japanese_restaurant', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Drygalski-Allee 117, 81477 München, Germany",48.082417299999996,11.5047552
ChIJwUgovj3ZnUcRLIUHOM3xPHE,6,McDonald's,fast_food_restaurant,"['fast_food_restaurant', 'restaurant', 'food', 'point_of_interest', 'establishment']",OPERATIONAL,,"Stäblistraße 16, 81477 München, Germany",48.0882633,11.504815700000002
