id,name,types,reviewsLink,primaryType
ChIJefRj7Df7mUcRDoJ6nXNh-T4,"{'text': 'Schwärzlocher Hof - Gaststätte', 'languageCode': 'de'}","restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb37ec63f479:0x3ef961739d7a820e!9m1!1b1,restaurant
ChIJSUfhKCz7mUcRkvW4DdzA1Ls,"{'text': 'Coyote Cafe', 'languageCode': 'de'}","bar_and_grill, mexican_restaurant, bar, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb2c28e14749:0xbbd4c0dc0db8f592!9m1!1b1,bar_and_grill
ChIJayOhYw77mUcRFmVYqY50yOg,"{'text': 'An An 2 - Vietnamese Cuisine & Sushi Bar', 'languageCode': 'de'}","vietnamese_restaurant, sushi_restaurant, japanese_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb0e63a1236b:0xe8c8748ea9586516!9m1!1b1,vietnamese_restaurant
ChIJD0eG3Sb7mUcR69WsfL5ysa4,"{'text': 'Kabine5', 'languageCode': 'de'}","wedding_venue, bar, event_venue, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb26dd86470f:0xaeb172be7cacd5eb!9m1!1b1,restaurant
ChIJp-1HDbH7mUcRZ-0qgD-LR3w,"{'text': ""Caro's Restaurant"", 'languageCode': 'de'}","fine_dining_restaurant, vegetarian_restaurant, restaurant, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fbb10d47eda7:0x7c478b3f802aed67!9m1!1b1,restaurant
ChIJhfpzRzb7mUcROSM0C5xqSfA,"{'text': 'Restaurant HILLS - Burgerclub & Steakhouse', 'languageCode': 'de'}","steak_house, hamburger_restaurant, brunch_restaurant, wine_bar, breakfast_restaurant, vegan_restaurant, vegetarian_restaurant, american_restaurant, bar, restaurant, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb364773fa85:0xf0496a9c0b342339!9m1!1b1,steak_house
ChIJh7m47NX6mUcRgwbJLk1vDn0,"{'text': 'Manufaktur', 'languageCode': 'en'}","restaurant, meal_takeaway, italian_restaurant, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fad5ecb8b987:0x7d0e6f4d2ec90683!9m1!1b1,restaurant
ChIJx8_YONT6mUcRm0S4iRVGdMI,"{'text': 'Restaurant Mauganeschtle Tübingen', 'languageCode': 'de'}","food_delivery, restaurant, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fad438d8cfc7:0xc274461589b8449b!9m1!1b1,restaurant
ChIJcRZLsdX6mUcRxuz_n5no2Vg,"{'text': 'Tübinger Altstadt-Besen', 'languageCode': 'de'}","restaurant, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fad5b14b1671:0x58d9e8999fffecc6!9m1!1b1,restaurant
ChIJ4zdnrsT7mUcRMl8z9RZeJHA,"{'text': 'Lotus Garden', 'languageCode': 'de'}","vietnamese_restaurant, restaurant, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fbc4ae6737e3:0x70245e16f5335f32!9m1!1b1,vietnamese_restaurant
ChIJPd27DNT6mUcRsJIx2HarEOQ,"{'text': 'Kaffeehaus Ranitzky', 'languageCode': 'en'}","cafe, bar, restaurant, point_of_interest, food, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fad40cbbdd3d:0xe410ab76d83192b0!9m1!1b1,cafe
ChIJZygGFuj7mUcR0FJdppJTL7Q,"{'text': 'Mr.Kebab', 'languageCode': 'de'}","restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fbe816062867:0xb42f5392a65d52d0!9m1!1b1,restaurant
ChIJzYSKNNL6mUcR2Q5TjncJPlo,"{'text': 'China Restaurant San Bao', 'languageCode': 'en'}","chinese_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fad2348a84cd:0x5a3e09778e530ed9!9m1!1b1,chinese_restaurant
ChIJPVbqNtL6mUcRr08MEmuJIgs,"{'text': 'El Chico', 'languageCode': 'de'}","mexican_restaurant, hamburger_restaurant, bar, american_restaurant, spanish_restaurant, restaurant, cafe, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fad236ea563d:0xb22896b120c4faf!9m1!1b1,mexican_restaurant
ChIJizM6MAH7mUcR2jJcSvVhqD0,"{'text': 'Ltt-lokal', 'languageCode': 'de'}","mediterranean_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb01303a338b:0x3da861f54a5c32da!9m1!1b1,mediterranean_restaurant
ChIJGTtrv9P6mUcRtLRexsK4n1E,"{'text': 'Al Dente', 'languageCode': 'de'}","italian_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fad3bf6b3b19:0x519fb8c2c65eb4b4!9m1!1b1,italian_restaurant
ChIJ62MugdH6mUcR7IeaAY_mG24,"{'text': 'Ludwigs', 'languageCode': 'de'}","restaurant, breakfast_restaurant, bar, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fad1812e63eb:0x6e1be68f019a87ec!9m1!1b1,restaurant
ChIJmxC1NAD7mUcR8QG5G9KY39c,"{'text': 'Luca - Pizza Napoletana', 'languageCode': 'en'}","pizza_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb0034b5109b:0xd7df98d21bb901f1!9m1!1b1,pizza_restaurant
ChIJ4-q0kXL7mUcR6TMepV4U_lo,"{'text': 'Neckawa', 'languageCode': 'en'}","pub, bar, event_venue, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb7291b4eae3:0x5afe145ea51e33e9!9m1!1b1,pub
ChIJZxHDkQH7mUcRRJJIquhKWAs,"{'text': 'Brothersorientfood Tübingen', 'languageCode': 'de'}","meal_takeaway, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb0191c31167:0xb584ae8aa489244!9m1!1b1,meal_takeaway
ChIJ5xBo29H6mUcRhd1Q5HIO8MA,"{'text': 'Burgermeister Café Gino', 'languageCode': 'de'}","hamburger_restaurant, american_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fad1db6810e7:0xc0f00e72e450dd85!9m1!1b1,hamburger_restaurant
ChIJH7MjPs76mUcR9qC_MT4h-9E,"{'text': 'The Public pub & bar Tübingen', 'languageCode': 'de'}","bar_and_grill, hamburger_restaurant, bar, american_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799face3e23b31f:0xd1fb213e31bfa0f6!9m1!1b1,bar_and_grill
ChIJuZhzLaz7mUcR-RLZoGdZK-I,"{'text': 'TÜ MEIN ESSEN', 'languageCode': 'de'}","turkish_restaurant, meal_takeaway, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fbac2d7398b9:0xe22b5967a0d912f9!9m1!1b1,turkish_restaurant
ChIJHeYeH_r7mUcRjK7N2j6Lhhk,"{'text': 'MARI Restaurant Bar by Markus & Richard', 'languageCode': 'en'}","restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fbfa1f1ee61d:0x19868b3edacdae8c!9m1!1b1,restaurant
ChIJfe6Lh9H6mUcRgmQtePU9rSw,"{'text': 'Restaurant Istanbul Tübingen', 'languageCode': 'de'}","turkish_restaurant, fast_food_restaurant, meal_takeaway, food_delivery, pizza_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fad1878bee7d:0x2cad3df5782d6482!9m1!1b1,turkish_restaurant
ChIJKc8JAdH6mUcRaqU7PHUId9Q,"{'text': 'Gaststätte Hauptbahnhof', 'languageCode': 'de'}","restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fad10109cf29:0xd47708753c3ba56a!9m1!1b1,restaurant
ChIJ-VRvjtP6mUcRCRutCubOI70,"{'text': 'Bartista Drink&Lounge Cocktailbar', 'languageCode': 'de'}","bar, restaurant, cafe, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fad38e6f54f9:0xbd23cee60aad1b09!9m1!1b1,bar
ChIJ--n1SdL6mUcRpASGRErF91k,"{'text': ""Hao's Box"", 'languageCode': 'en'}","asian_restaurant, meal_takeaway, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fad249f5e9fb:0x59f7c54a448604a4!9m1!1b1,asian_restaurant
ChIJhYDLOdL6mUcRL47TQ1nM7gU,"{'text': 'Gasthausbrauerei Neckarmüller', 'languageCode': 'de'}","restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fad239cb8085:0x5eecc5943d38e2f!9m1!1b1,restaurant
ChIJJYpsxbH7mUcRJ3qMsP8OmhY,"{'text': 'GenussArt | Bistro & Café | Frühstück - Salate, Bowls & mehr - Kaffee - Kuchen | vegetarisch & vegan', 'languageCode': 'de'}","cafe, catering_service, food_delivery, vegan_restaurant, vegetarian_restaurant, event_venue, restaurant, food_store, food, point_of_interest, store, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fbb1c56c8a25:0x169a0effb08c7a27!9m1!1b1,cafe
ChIJyTShHs_6mUcRtQE7IEjPkyE,"{'text': 'Aspendos Restaurant', 'languageCode': 'de'}","turkish_restaurant, mediterranean_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799facf1ea134c9:0x2193cf48203b01b5!9m1!1b1,turkish_restaurant
ChIJMTjKcn_7mUcRN2rN8A4_YZc,"{'text': 'Gardens Tübingen', 'languageCode': 'de'}","restaurant, bar, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb7f72ca3831:0x97613f0ef0cd6a37!9m1!1b1,restaurant
ChIJP2j5YRb7mUcRvlrJted0Q_c,"{'text': 'Miko Döner', 'languageCode': 'de'}","turkish_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799fb1661f9683f:0xf74374e7b5c95abe!9m1!1b1,turkish_restaurant
ChIJG2YqOcz6mUcRRkDqkJImqfc,"{'text': 'Restaurant Delhi Palace', 'languageCode': 'en'}","indian_restaurant, restaurant, food, point_of_interest, establishment",https://www.google.com/maps/place//data=!4m4!3m3!1s0x4799facc392a661b:0xf7a9269290ea4046!9m1!1b1,indian_restaurant
