id,name,types,primaryType,businessStatus,pureServiceAreaBusiness,formattedAddress,location
ChIJ408GZzjwmUcRiwbNgTXYfMc,"{'text': 'Gasthof Kompf', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Mähringer Str. 34, 72127 Kusterdingen, Germany","{'latitude': 48.4990497, 'longitude': 9.1275281}"
ChIJR_Kkbuv8mUcRIxl8cm8Sjig,"{'text': 'Besenwirtschaft Sieß', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Pfäffinger Str. 3, 72108 Rottenburg am Neckar, Germany","{'latitude': 48.506493999999996, 'longitude': 8.9656817}"
ChIJY4I8Je38mUcR-0CAwesMdWk,"{'text': ""Gasthof Hotel Rössle & Gerry's Steakhouse"", 'languageCode': 'de'}",,inn,OPERATIONAL,,"Bricciusstraße 25, 72108 Rottenburg am Neckar, Germany","{'latitude': 48.5022222, 'longitude': 8.9655556}"
ChIJQS69Gk_7mUcRKNZFcYeFOnI,"{'text': 'Ayla Pizza&Kebap', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Kingersheimer Str. 35, 72070 Tübingen, Germany","{'latitude': 48.501466, 'longitude': 8.9980194}"
ChIJNaEqSGT7mUcRu73mZS05U6g,"{'text': 'Gasthof Goldener Löwe', 'languageCode': 'de'}",,italian_restaurant,OPERATIONAL,,"Kingersheimer Str. 18, 72070 Tübingen, Germany","{'latitude': 48.5017256, 'longitude': 8.998240299999999}"
ChIJr_n1fgH7mUcRhdWN8PqFpow,"{'text': '„Casino“ DB Gastronomie GmbH', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Europastraße 61, 72072 Tübingen, Germany","{'latitude': 48.507798099999995, 'longitude': 9.0427544}"
ChIJD8qT8qX7mUcRNPwWmhNddgA,"{'text': 'Memo Döner & Pizza Tübingen', 'languageCode': 'de'}",,turkish_restaurant,OPERATIONAL,,"Derendinger Str. 103, 72072 Tübingen, Germany","{'latitude': 48.5064117, 'longitude': 9.0513697}"
ChIJf67tt936mUcRgzFJHEdI4y0,"{'text': 'Berivan Pizza & Kebap', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Heinlenstraße 8, 72072 Tübingen, Germany","{'latitude': 48.50574650000001, 'longitude': 9.051784699999999}"
ChIJF2Wg93H7mUcRfK_KN-0yTRI,"{'text': ""Pan's Asian Kitchen"", 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Hechinger Str. 67, 72072 Tübingen, Germany","{'latitude': 48.509597, 'longitude': 9.059956399999999}"
ChIJwynSXrr6mUcRJDnNNZkD1UU,"{'text': 'Little India Restaurant', 'languageCode': 'de'}",,indian_restaurant,OPERATIONAL,,"Landkutschersweg 2/2, 72072 Tübingen, Germany","{'latitude': 48.5101005, 'longitude': 9.0798421}"
ChIJ7azpnTnwmUcRVWTjwZxS2cI,"{'text': 'crepes creatives', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Ochsengäßle 5, 72127 Kusterdingen, Germany","{'latitude': 48.5020686, 'longitude': 9.1281444}"
ChIJefRj7Df7mUcRDoJ6nXNh-T4,"{'text': 'Schwärzlocher Hof - Gaststätte', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Schwärzloch 1, 72070 Tübingen, Germany","{'latitude': 48.5173746, 'longitude': 9.023228}"
ChIJSUfhKCz7mUcRkvW4DdzA1Ls,"{'text': 'Coyote Cafe', 'languageCode': 'de'}",,bar_and_grill,OPERATIONAL,,"Schleifmühleweg 95, 72070 Tübingen, Germany","{'latitude': 48.520277799999995, 'longitude': 9.039444399999999}"
ChIJD0eG3Sb7mUcR69WsfL5ysa4,"{'text': 'Kabine5', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Freibad 3, 72072 Tübingen, Germany","{'latitude': 48.5109299, 'longitude': 9.041559999999999}"
ChIJayOhYw77mUcRFmVYqY50yOg,"{'text': 'An An 2 - Vietnamese Cuisine & Sushi Bar', 'languageCode': 'de'}",,vietnamese_restaurant,OPERATIONAL,,"Europastraße 40, 72072 Tübingen, Germany","{'latitude': 48.5110568, 'longitude': 9.0427191}"
ChIJ05lxui3lmUcRWJ39Zjt3P78,"{'text': 'TGF Pizza Tübingen', 'languageCode': 'en'}",,meal_delivery,OPERATIONAL,,"Schleifmühleweg 1, 72070 Tübingen, Germany","{'latitude': 48.520427399999996, 'longitude': 9.0489339}"
ChIJx8_YONT6mUcRm0S4iRVGdMI,"{'text': 'Restaurant Mauganeschtle Tübingen', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Burgsteige 18, 72070 Tübingen, Germany","{'latitude': 48.519961699999996, 'longitude': 9.0523572}"
ChIJhfpzRzb7mUcROSM0C5xqSfA,"{'text': 'Restaurant HILLS - Burgerclub & Steakhouse', 'languageCode': 'de'}",,steak_house,OPERATIONAL,,"Burgsteige 7, 72070 Tübingen, Germany","{'latitude': 48.5198567, 'longitude': 9.0527187}"
ChIJPd27DNT6mUcRsJIx2HarEOQ,"{'text': 'Kaffeehaus Ranitzky', 'languageCode': 'en'}",,cafe,OPERATIONAL,,"Am Markt, 72070 Tübingen, Germany","{'latitude': 48.520168999999996, 'longitude': 9.054003699999999}"
ChIJh7m47NX6mUcRgwbJLk1vDn0,"{'text': 'Manufaktur', 'languageCode': 'en'}",,restaurant,OPERATIONAL,,"Vor dem Haagtor 1/2, 72070 Tübingen, Germany","{'latitude': 48.520327099999996, 'longitude': 9.0495466}"
ChIJ71WmI9T6mUcRddh0j7VStjk,"{'text': 'Traube', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Neckarhalde 14, 72070 Tübingen, Germany","{'latitude': 48.5195705, 'longitude': 9.052602}"
ChIJC7HFCtT6mUcRob-ev5r2SjI,"{'text': 'Historische Weinstube Forelle', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Kronenstraße 8, 72070 Tübingen, Germany","{'latitude': 48.5200539, 'longitude': 9.0544383}"
ChIJp-1HDbH7mUcRZ-0qgD-LR3w,"{'text': ""Caro's Restaurant"", 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Haaggasse 10, 72070 Tübingen, Germany","{'latitude': 48.520507699999996, 'longitude': 9.0522075}"
ChIJh0ro4tv6mUcR3aAfe_vIBHg,"{'text': 'Riccis Dart-Bistro', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Derendinger Str. 43, 72072 Tübingen, Germany","{'latitude': 48.510838899999996, 'longitude': 9.0534438}"
ChIJTYFkttX6mUcRQ-NLIBlEUiE,"{'text': 'Alter Simpl', 'languageCode': 'de'}",,bar,OPERATIONAL,,"Haaggasse 24, 72070 Tübingen, Germany","{'latitude': 48.5205334, 'longitude': 9.0511187}"
ChIJX4-gp9n6mUcR39N6fPlXA6I,"{'text': 'Il Centro Café-Bistro & Catering & Partyservice', 'languageCode': 'de'}",,cafe,OPERATIONAL,,"Konrad-Adenauer-Straße 13, 72072 Tübingen, Germany","{'latitude': 48.5113936, 'longitude': 9.0499859}"
ChIJKc8JAdH6mUcRaqU7PHUId9Q,"{'text': 'Gaststätte Hauptbahnhof', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Europapl. 19, 72072 Tübingen, Germany","{'latitude': 48.5159519, 'longitude': 9.054864}"
ChIJGTtrv9P6mUcRtLRexsK4n1E,"{'text': 'Al Dente', 'languageCode': 'de'}",,italian_restaurant,OPERATIONAL,,"Bursagasse, 72070 Tübingen, Germany","{'latitude': 48.5198274, 'longitude': 9.0566053}"
ChIJ62MugdH6mUcR7IeaAY_mG24,"{'text': 'Ludwigs', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Uhlandstraße 1, 72072 Tübingen, Germany","{'latitude': 48.5180253, 'longitude': 9.0577603}"
ChIJZxHDkQH7mUcRRJJIquhKWAs,"{'text': 'Brothersorientfood Tübingen', 'languageCode': 'de'}",,meal_takeaway,OPERATIONAL,,"Gartenstraße 1, 72074 Tübingen, Germany","{'latitude': 48.5195927, 'longitude': 9.0583828}"
ChIJ5xBo29H6mUcRhd1Q5HIO8MA,"{'text': 'Burgermeister Café Gino', 'languageCode': 'de'}",,hamburger_restaurant,OPERATIONAL,,"Poststraße 2-4, 72072 Tübingen, Germany","{'latitude': 48.5167165, 'longitude': 9.0593363}"
ChIJhYDLOdL6mUcRL47TQ1nM7gU,"{'text': 'Gasthausbrauerei Neckarmüller', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Gartenstraße 4, 72074 Tübingen, Germany","{'latitude': 48.519357, 'longitude': 9.058622999999999}"
ChIJ9cMyt8X6mUcRC8xF9AbjNdU,"{'text': 'Freundeskreis Mensch e.V. - Gaststätte Loretto', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Katharinenstraße 22, 72072 Tübingen, Germany","{'latitude': 48.5113707, 'longitude': 9.0627906}"
ChIJmxC1NAD7mUcR8QG5G9KY39c,"{'text': 'Luca - Pizza Napoletana', 'languageCode': 'en'}",,pizza_restaurant,OPERATIONAL,,"Karlstraße 2, 72072 Tübingen, Germany","{'latitude': 48.517764, 'longitude': 9.0580303}"
ChIJPVbqNtL6mUcRr08MEmuJIgs,"{'text': 'El Chico', 'languageCode': 'de'}",,mexican_restaurant,OPERATIONAL,,"Gartenstraße 4, 72074 Tübingen, Germany","{'latitude': 48.519351900000004, 'longitude': 9.0585832}"
ChIJfe6Lh9H6mUcRgmQtePU9rSw,"{'text': 'Restaurant Istanbul Tübingen', 'languageCode': 'de'}",,turkish_restaurant,OPERATIONAL,,"Karlstraße 1, 72072 Tübingen, Germany","{'latitude': 48.518449, 'longitude': 9.0582403}"
ChIJCQ0dq437mUcRIhvpIGfxWiI,"{'text': 'Aksaray Tübingen', 'languageCode': 'de'}",,turkish_restaurant,OPERATIONAL,,"Mühlstraße 10/1, 72074 Tübingen, Germany","{'latitude': 48.5205625, 'longitude': 9.0579208}"
ChIJHeYeH_r7mUcRjK7N2j6Lhhk,"{'text': 'MARI Restaurant Bar by Markus & Richard', 'languageCode': 'en'}",,restaurant,OPERATIONAL,,"Wöhrdstraße 5-9, 72072 Tübingen, Germany","{'latitude': 48.5183961, 'longitude': 9.059108799999999}"
ChIJI6CVktP6mUcRdoklZ-0caeA,"{'text': 'Cafe Tangente Jour', 'languageCode': 'en'}",,cafe,OPERATIONAL,,"Münzgasse 17, 72070 Tübingen, Germany","{'latitude': 48.520143999999995, 'longitude': 9.055482999999999}"
ChIJ--n1SdL6mUcRpASGRErF91k,"{'text': ""Hao's Box"", 'languageCode': 'en'}",,asian_restaurant,OPERATIONAL,,"Mühlstraße 2, 72074 Tübingen, Germany","{'latitude': 48.5197539, 'longitude': 9.0581944}"
ChIJuZhzLaz7mUcR-RLZoGdZK-I,"{'text': 'TÜ MEIN ESSEN', 'languageCode': 'de'}",,turkish_restaurant,OPERATIONAL,,"Poststraße 2-4, 72072 Tübingen, Germany","{'latitude': 48.516794, 'longitude': 9.0593729}"
ChIJ6UflI6H7mUcRTP0VZP9e62U,"{'text': 'HendlBurg Tübingen Hbf', 'languageCode': 'el'}",,fast_food_restaurant,OPERATIONAL,,"Europapl. 19, 72072 Tübingen, Germany","{'latitude': 48.5160164, 'longitude': 9.055459100000002}"
ChIJFYecuNH6mUcR5wmmb8W_1Vg,"{'text': 'Aksaray 3 Döner & Pizza Imbiss', 'languageCode': 'de'}",,meal_takeaway,OPERATIONAL,,"Karlstraße 19, 72070 Tübingen, Germany","{'latitude': 48.516443599999995, 'longitude': 9.0590048}"
ChIJD0cBzNH6mUcRaZsQbNLKyI8,"{'text': 'Subway', 'languageCode': 'de'}",,sandwich_shop,OPERATIONAL,,"Europapl. 1-7, 72072 Tübingen, Germany","{'latitude': 48.5163496, 'longitude': 9.0585948}"
ChIJZygGFuj7mUcR0FJdppJTL7Q,"{'text': 'Mr.Kebab', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Poststraße 2-4, 72072 Tübingen, Germany","{'latitude': 48.516768, 'longitude': 9.059111}"
ChIJx774JR_7mUcR3_uhwg9KT_c,"{'text': 'Restaurant Hölderlinturm', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Bursagasse 4, 72070 Tübingen, Germany","{'latitude': 48.5193771, 'longitude': 9.05569}"
ChIJMTjKcn_7mUcRN2rN8A4_YZc,"{'text': 'Gardens Tübingen', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Gartenstraße 80, 72074 Tübingen, Germany","{'latitude': 48.5188205, 'longitude': 9.0712051}"
ChIJgbc7VAD7mUcRFK-2BDoQmI8,"{'text': 'Emanuel Gastronomy', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Eisenbahnstraße 27, 72072 Tübingen, Germany","{'latitude': 48.5155964, 'longitude': 9.0681902}"
ChIJP2j5YRb7mUcRvlrJted0Q_c,"{'text': 'Miko Döner', 'languageCode': 'de'}",,turkish_restaurant,OPERATIONAL,,"Reutlinger Str. 44, 72072 Tübingen, Germany","{'latitude': 48.5142824, 'longitude': 9.066264799999999}"
ChIJNzGjDMj6mUcRtAM9feNOR_o,"{'text': 'Bien Asien', 'languageCode': 'en'}",,vietnamese_restaurant,OPERATIONAL,,"Eugenstraße 74, 72072 Tübingen, Germany","{'latitude': 48.5126394, 'longitude': 9.0699349}"
ChIJ1YL7FMj6mUcRusMCXLdm5JI,"{'text': 'Fischfeinkost Lauriolas', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Eugenstraße 74, 72072 Tübingen, Germany","{'latitude': 48.512650099999995, 'longitude': 9.069626500000002}"
ChIJRZ6stsn6mUcR9Xazz9KPi4Y,"{'text': 'Kaplan Döner Kebap House', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Eisenbahnstraße 32, 72072 Tübingen, Germany","{'latitude': 48.514668, 'longitude': 9.069754}"
ChIJS8J6Dsj6mUcRlc-zXwH1D-M,"{'text': 'Udo-Snack', 'languageCode': 'de'}",,meal_takeaway,OPERATIONAL,,"Eugenstraße 74, 72072 Tübingen, Germany","{'latitude': 48.5132167, 'longitude': 9.069268899999999}"
ChIJ688m6Q77mUcRgGyaJljddKs,"{'text': 'Grill California', 'languageCode': 'en'}",,restaurant,OPERATIONAL,,"Schaffhausenstraße 109, 72072 Tübingen, Germany","{'latitude': 48.517938199999996, 'longitude': 9.0801787}"
ChIJS2PzG4n7mUcRkLDEHydEi_0,"{'text': ""Abhi's Lieferservice"", 'languageCode': 'en'}",,restaurant,OPERATIONAL,,"Schaffhausenstraße 109, 72072 Tübingen, Germany","{'latitude': 48.51790020000001, 'longitude': 9.080184899999999}"
ChIJa8lCtLP6mUcRDmCYosD7Ozk,"{'text': 'JAPENGO', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Schaffhausenstraße 113, 72072 Tübingen, Germany","{'latitude': 48.518418399999995, 'longitude': 9.0817345}"
ChIJE5A7XwD7mUcRo1kHbllmqWs,"{'text': 'Venezia', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Aixer Str. 23, 72072 Tübingen, Germany","{'latitude': 48.5111614, 'longitude': 9.0756119}"
ChIJz36Zt7r7mUcRFRTWt7AqvHM,"{'text': 'An An', 'languageCode': 'de'}",,vietnamese_restaurant,OPERATIONAL,,"Aixer Str. 46, 72072 Tübingen, Germany","{'latitude': 48.5108348, 'longitude': 9.0758493}"
ChIJcxCnJsHxmUcRytI8wyoNivk,"{'text': 'Kreis Pizza & Kebap Haus Kusterdingen', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"In d. Braike 3, 72127 Kusterdingen, Germany","{'latitude': 48.516594999999995, 'longitude': 9.1216417}"
ChIJFT2wv8DvmUcRCZn_Fe_ieMA,"{'text': 'Etna Ristorante', 'languageCode': 'en'}",,indian_restaurant,OPERATIONAL,,"Tübinger Str. 8, 72127 Kusterdingen, Germany","{'latitude': 48.5200239, 'longitude': 9.1208413}"
ChIJw_pHyuHvmUcRk7YxCvcKsuY,"{'text': 'Im Höfle', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Tübinger Str. 14, 72127 Kusterdingen, Germany","{'latitude': 48.5197012, 'longitude': 9.120474399999999}"
ChIJqyQigITvmUcRH53hnYXytbw,"{'text': 'Taj Tandoori', 'languageCode': 'en'}",,restaurant,OPERATIONAL,,"Tübinger Str. 8, 72127 Kusterdingen, Germany","{'latitude': 48.5200044, 'longitude': 9.1208522}"
ChIJ__8LtM78mUcRcAT-4qM_S-w,"{'text': 'Pfäffinger Pizza & Kebap Haus', 'languageCode': 'de'}",,turkish_restaurant,OPERATIONAL,,"Wiesweg 26, 72119 Ammerbuch, Germany","{'latitude': 48.52465780000001, 'longitude': 8.966921}"
ChIJSzCy1M38mUcRVWSmSvdyhrM,"{'text': 'Pizzeria da Roberto', 'languageCode': 'de'}",,italian_restaurant,OPERATIONAL,,"Wiesweg 1, 72070 Tübingen, Germany","{'latitude': 48.523078700000006, 'longitude': 8.974833}"
ChIJYaIpZrT8mUcR_skNcYIxOvE,"{'text': 'Hotel LAMM - Restaurant & Spezialitäten-Brennerei Volker Theurer', 'languageCode': 'de'}",,hotel,OPERATIONAL,,"Jesinger Hauptstraße 55-57, 72070 Tübingen, Germany","{'latitude': 48.526551999999995, 'longitude': 8.979183599999999}"
ChIJJwv_GjX7mUcRBqUKy2UwLVo,"{'text': 'Hotel Restaurant Kreuzberg', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Vor dem Kreuzberg 23, 72070 Tübingen, Germany","{'latitude': 48.5244765, 'longitude': 9.025634799999999}"
ChIJjX6b37j7mUcR76qIt43y1mY,"{'text': 'EAT HAPPY', 'languageCode': 'de'}",,meal_takeaway,OPERATIONAL,,"Schleifmühleweg 36, 72070 Tübingen, Germany","{'latitude': 48.521057, 'longitude': 9.043997}"
ChIJP_9lmxz7mUcRelv5YnPMnH8,"{'text': ""Domino's Pizza Tübingen Nord"", 'languageCode': 'de'}",,pizza_restaurant,OPERATIONAL,,"Herrenberger Str. 68, 72070 Tübingen, Germany","{'latitude': 48.5241406, 'longitude': 9.0423714}"
ChIJe9Db17D7mUcRlW40zvrs5Jc,"{'text': 'Tetova Bar pavillon', 'languageCode': 'de'}",,restaurant,OPERATIONAL,,"Rheinlandstraße 32, 72070 Tübingen, Germany","{'latitude': 48.523730300000004, 'longitude': 9.0388377}"
ChIJsdMa-Mv5mUcRXIWM1xoh7OU,"{'text': 'PizzA.K Tübingen', 'languageCode': 'de'}",,meal_delivery,OPERATIONAL,,"Rheinlandstraße 32, 72070 Tübingen, Germany","{'latitude': 48.523730300000004, 'longitude': 9.0388377}"
ChIJ2RLhhi37mUcR3Ib6lzocwd4,"{'text': 'Bakery Gehr bakery', 'languageCode': 'en'}",,bakery,OPERATIONAL,,"Sindelfinger Str. 4, 72070 Tübingen, Germany","{'latitude': 48.5221084, 'longitude': 9.0371902}"
