id,name,accessibilityOptions,allowsDogs,goodForChildren,goodForGroups,goodForWatchingSports,menuForChildren
ChIJN7o495b7mUcRgQbaxkTIkXo,"{'text': 'Schützenhaus Bühl Restaurant Taverne', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,True
ChIJBctfifbwmUcRrXoViGlewME,"{'text': 'Sportgaststätte Reinenberg La Corte', 'languageCode': 'en'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",True,True,True,True,True
ChIJU3_pY4T7mUcREub8_JVTsJc,"{'text': ""Gasthof 's Gräbele"", 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleRestroom': True}",True,True,True,False,True
ChIJIbTkHI37mUcRoDRmzFClAN4,"{'text': 'Dönerrizza', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",False,True,True,False,True
ChIJG3kcYNz7mUcR5ZdgCEXB3-I,"{'text': 'ON Börek & Bakery (Turkish Bakery)', 'languageCode': 'en'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleRestroom': False, 'wheelchairAccessibleSeating': True}",,,,,
ChIJ9e2hy3X7mUcRAJJ8PtNdcAQ,"{'text': 'Eddy’s Imbiss', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",,True,True,False,
ChIJhxRbsgv7mUcRMjO-1R7lUtk,"{'text': 'Gasthaus Hirsch Kilchberg', 'languageCode': 'de'}","{'wheelchairAccessibleEntrance': False, 'wheelchairAccessibleSeating': False}",,True,True,False,True
ChIJd8nlXKr7mUcRO6iJzDp3sUQ,"{'text': 'Schützenhaus Weilheim', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,True
ChIJZxx-Kln6mUcROzIKQaLPWq4,"{'text': 'Restaurant Schloss Kressbach', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,
ChIJ4VPJNj3xmUcR74Qh7Q0iz_k,"{'text': ""Mayer's Sommergarten"", 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleSeating': True}",True,True,True,,
ChIJEbY0PWfwmUcRX3ULHIUZ0S0,"{'text': ""Mayer's Waldhorn"", 'languageCode': 'en'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': False, 'wheelchairAccessibleSeating': True}",True,True,True,False,True
ChIJARhATH37mUcRyRmMLZdZkKw,"{'text': 'Pizzeria -Sportlerstube Hirschau', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",,True,True,,True
ChIJnQwYNXf7mUcRQiKytCB8Vn0,"{'text': 'EAT HAPPY', 'languageCode': 'de'}",,,,,,
ChIJ66taiuz6mUcRFSLyQ1zeZug,"{'text': 'Sportgaststätte TV Derendingen', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",True,True,True,True,True
ChIJJefnUwD7mUcRw8RE8WokBsc,"{'text': 'Biergarten Sudhaus', 'languageCode': 'de'}",,,,,,
ChIJocMuqXPwmUcR_FQG4_XZKr8,"{'text': 'Hotel Gasthof Löwen Wankheim', 'languageCode': 'de'}",{'wheelchairAccessibleParking': True},,True,,,
ChIJTR3JWCjxmUcRbt_RBaruRfk,"{'text': 'Ristorante Pizzeria Milano', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,True
ChIJA_PuHnPwmUcRvwRYy8yGfdg,"{'text': 'Hofladen Kemmler', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True}",,,,,
ChIJA_PuHnPwmUcRjsZYfTvJ-ZQ,"{'text': 'Landgut Kemmler', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True}",,True,,,
ChIJ408GZzjwmUcRiwbNgTXYfMc,"{'text': 'Gasthof Kompf', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,True
ChIJY4I8Je38mUcR-0CAwesMdWk,"{'text': ""Gasthof Hotel Rössle & Gerry's Steakhouse"", 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True}",,True,,,
ChIJR_Kkbuv8mUcRIxl8cm8Sjig,"{'text': 'Besenwirtschaft Sieß', 'languageCode': 'de'}",{'wheelchairAccessibleParking': True},True,True,True,False,False
ChIJQS69Gk_7mUcRKNZFcYeFOnI,"{'text': 'Ayla Pizza&Kebap', 'languageCode': 'de'}",,,True,True,,
ChIJNaEqSGT7mUcRu73mZS05U6g,"{'text': 'Gasthof Goldener Löwe', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,True
ChIJr_n1fgH7mUcRhdWN8PqFpow,"{'text': '„Casino“ DB Gastronomie GmbH', 'languageCode': 'de'}",{'wheelchairAccessibleParking': True},,False,True,,False
ChIJV8BMYOf6mUcRopufG6bi_uA,"{'text': 'Gaststätte Hirsch Derendingen', 'languageCode': 'de'}",{'wheelchairAccessibleEntrance': False},,True,True,False,True
ChIJD8qT8qX7mUcRNPwWmhNddgA,"{'text': 'Memo Döner & Pizza Tübingen', 'languageCode': 'de'}",,,,,,
ChIJ1ZN5p1X7mUcRZw17Vfp1M_Y,"{'text': 'Da Michele', 'languageCode': 'de'}",{'wheelchairAccessibleEntrance': False},,True,True,False,
ChIJf67tt936mUcRgzFJHEdI4y0,"{'text': 'Berivan Pizza & Kebap', 'languageCode': 'de'}","{'wheelchairAccessibleEntrance': False, 'wheelchairAccessibleSeating': False}",,True,True,,False
ChIJqRyU3BL7mUcRutt7WumEOI0,"{'text': ""Take ,N' GO"", 'languageCode': 'de'}","{'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': False}",,,,False,False
ChIJF2Wg93H7mUcRfK_KN-0yTRI,"{'text': ""Pan's Asian Kitchen"", 'languageCode': 'de'}",,True,True,True,False,False
ChIJwynSXrr6mUcRJDnNNZkD1UU,"{'text': 'Little India Restaurant', 'languageCode': 'de'}",{'wheelchairAccessibleSeating': True},,True,True,False,False
ChIJ7azpnTnwmUcRVWTjwZxS2cI,"{'text': 'crepes creatives', 'languageCode': 'de'}",{'wheelchairAccessibleParking': True},,,True,,
ChIJefRj7Df7mUcRDoJ6nXNh-T4,"{'text': 'Schwärzlocher Hof - Gaststätte', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,True
ChIJSUfhKCz7mUcRkvW4DdzA1Ls,"{'text': 'Coyote Cafe', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",True,True,True,,True
ChIJD0eG3Sb7mUcR69WsfL5ysa4,"{'text': 'Kabine5', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",True,True,True,True,True
ChIJayOhYw77mUcRFmVYqY50yOg,"{'text': 'An An 2 - Vietnamese Cuisine & Sushi Bar', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",,True,True,False,True
ChIJhfpzRzb7mUcROSM0C5xqSfA,"{'text': 'Restaurant HILLS - Burgerclub & Steakhouse', 'languageCode': 'de'}","{'wheelchairAccessibleParking': False, 'wheelchairAccessibleEntrance': False}",True,True,True,False,
ChIJx8_YONT6mUcRm0S4iRVGdMI,"{'text': 'Restaurant Mauganeschtle Tübingen', 'languageCode': 'de'}",{'wheelchairAccessibleParking': False},,,True,False,True
ChIJp-1HDbH7mUcRZ-0qgD-LR3w,"{'text': ""Caro's Restaurant"", 'languageCode': 'de'}","{'wheelchairAccessibleParking': False, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': False, 'wheelchairAccessibleSeating': True}",,True,True,False,False
ChIJ4zdnrsT7mUcRMl8z9RZeJHA,"{'text': 'Lotus Garden', 'languageCode': 'de'}","{'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,False
ChIJPd27DNT6mUcRsJIx2HarEOQ,"{'text': 'Kaffeehaus Ranitzky', 'languageCode': 'en'}","{'wheelchairAccessibleParking': False, 'wheelchairAccessibleEntrance': False, 'wheelchairAccessibleSeating': False}",,,True,False,False
ChIJ71WmI9T6mUcRddh0j7VStjk,"{'text': 'Traube', 'languageCode': 'de'}","{'wheelchairAccessibleParking': False, 'wheelchairAccessibleEntrance': False, 'wheelchairAccessibleSeating': False}",,True,True,False,
ChIJTYFkttX6mUcRQ-NLIBlEUiE,"{'text': 'Alter Simpl', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': False}",,,True,,
ChIJh0ro4tv6mUcR3aAfe_vIBHg,"{'text': 'Riccis Dart-Bistro', 'languageCode': 'de'}",{'wheelchairAccessibleSeating': True},,False,True,,False
ChIJh7m47NX6mUcRgwbJLk1vDn0,"{'text': 'Manufaktur', 'languageCode': 'en'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': False, 'wheelchairAccessibleSeating': True}",,True,True,False,False
ChIJKc8JAdH6mUcRaqU7PHUId9Q,"{'text': 'Gaststätte Hauptbahnhof', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",True,True,True,,True
ChIJPVbqNtL6mUcRr08MEmuJIgs,"{'text': 'El Chico', 'languageCode': 'de'}","{'wheelchairAccessibleParking': False, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': False, 'wheelchairAccessibleSeating': True}",,True,True,False,True
ChIJH7MjPs76mUcR9qC_MT4h-9E,"{'text': 'The Public pub & bar Tübingen', 'languageCode': 'de'}","{'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",True,True,True,True,True
ChIJyTShHs_6mUcRtQE7IEjPkyE,"{'text': 'Aspendos Restaurant', 'languageCode': 'de'}",{'wheelchairAccessibleEntrance': False},,True,True,False,True
ChIJ62MugdH6mUcR7IeaAY_mG24,"{'text': 'Ludwigs', 'languageCode': 'de'}","{'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",,,True,False,
ChIJ5xBo29H6mUcRhd1Q5HIO8MA,"{'text': 'Burgermeister Café Gino', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",,True,True,False,True
ChIJZxHDkQH7mUcRRJJIquhKWAs,"{'text': 'Brothersorientfood Tübingen', 'languageCode': 'de'}",,,True,True,False,False
ChIJzYSKNNL6mUcR2Q5TjncJPlo,"{'text': 'China Restaurant San Bao', 'languageCode': 'en'}",{'wheelchairAccessibleParking': False},,True,True,False,False
ChIJhYDLOdL6mUcRL47TQ1nM7gU,"{'text': 'Gasthausbrauerei Neckarmüller', 'languageCode': 'de'}","{'wheelchairAccessibleParking': False, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,True
ChIJfe6Lh9H6mUcRgmQtePU9rSw,"{'text': 'Restaurant Istanbul Tübingen', 'languageCode': 'de'}","{'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",,True,True,False,False
ChIJmxC1NAD7mUcR8QG5G9KY39c,"{'text': 'Luca - Pizza Napoletana', 'languageCode': 'en'}",,,,,,
ChIJuZhzLaz7mUcR-RLZoGdZK-I,"{'text': 'TÜ MEIN ESSEN', 'languageCode': 'de'}",,,True,True,False,False
ChIJCQ0dq437mUcRIhvpIGfxWiI,"{'text': 'Aksaray Tübingen', 'languageCode': 'de'}",,,True,,False,False
ChIJ6UflI6H7mUcRTP0VZP9e62U,"{'text': 'HendlBurg Tübingen Hbf', 'languageCode': 'el'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True}",,True,,,
ChIJHeYeH_r7mUcRjK7N2j6Lhhk,"{'text': 'MARI Restaurant Bar by Markus & Richard', 'languageCode': 'en'}","{'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",True,True,True,,
ChIJI6CVktP6mUcRdoklZ-0caeA,"{'text': 'Cafe Tangente Jour', 'languageCode': 'en'}","{'wheelchairAccessibleParking': False, 'wheelchairAccessibleEntrance': False}",True,,True,False,False
ChIJ--n1SdL6mUcRpASGRErF91k,"{'text': ""Hao's Box"", 'languageCode': 'en'}","{'wheelchairAccessibleParking': False, 'wheelchairAccessibleSeating': False}",,,,False,False
ChIJFYecuNH6mUcR5wmmb8W_1Vg,"{'text': 'Aksaray 3 Döner & Pizza Imbiss', 'languageCode': 'de'}","{'wheelchairAccessibleParking': False, 'wheelchairAccessibleEntrance': False, 'wheelchairAccessibleSeating': False}",,,True,False,False
ChIJD0cBzNH6mUcRaZsQbNLKyI8,"{'text': 'Subway', 'languageCode': 'de'}","{'wheelchairAccessibleParking': False, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': False, 'wheelchairAccessibleSeating': False}",,True,True,False,False
ChIJX6CQ4cT6mUcR56BXGwa1MqQ,"{'text': 'PizzaPasta Tübingen', 'languageCode': 'de'}",{'wheelchairAccessibleEntrance': True},,,,,
ChIJZygGFuj7mUcR0FJdppJTL7Q,"{'text': 'Mr.Kebab', 'languageCode': 'de'}","{'wheelchairAccessibleParking': True, 'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': False, 'wheelchairAccessibleSeating': True}",True,True,,True,True
ChIJJYpsxbH7mUcRJ3qMsP8OmhY,"{'text': 'GenussArt | Bistro & Café | Frühstück - Salate, Bowls & mehr - Kaffee - Kuchen | vegetarisch & vegan', 'languageCode': 'de'}","{'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleSeating': True}",,True,True,False,False
ChIJ79KBN4j7mUcR6AbeB-pPGE4,"{'text': 'Neckarmüller - Biergarten', 'languageCode': 'de'}","{'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",True,True,True,False,False
ChIJ4-q0kXL7mUcR6TMepV4U_lo,"{'text': 'Neckawa', 'languageCode': 'en'}","{'wheelchairAccessibleEntrance': True, 'wheelchairAccessibleRestroom': True, 'wheelchairAccessibleSeating': True}",True,,True,,True
