id,name,curbsidePickup,delivery,dineIn,evChargeOptions,fuelOptions,liveMusic,parkingOptions,paymentOptions,outdoorSeating,reservable,restroom,servesBeer,servesBreakfast,servesBrunch,servesCocktails,servesCoffee,servesDessert,servesDinner,servesLunch,servesVegetarianFood,servesWine,takeout
ChIJrUyJiKPkmUcRHFmBOZZcK7E,"{'text': 'Gaststätte Grüner Baum', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}",{'acceptsCashOnly': False},False,True,True,True,False,False,True,True,True,True,True,True,True,True
ChIJ7T7QTNzkmUcR9Ztys8-kztw,"{'text': 'CAFÉ KUNSTHALLE TÜBINGEN', 'languageCode': 'de'}",False,False,True,,,False,"{'freeParkingLot': True, 'paidParkingLot': True}","{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,True,True,,True,True,True,True,True,True,False
ChIJJz8pQ-DkmUcRrJp3p-gAar4,"{'text': 'Landgasthaus Waldhäuser Hof', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,,False,,True,True,True,True,True,True,
ChIJz5Y6At3kmUcR2tnooD8-CDs,"{'text': 'Bella Roma + Lieferservice', 'languageCode': 'de'}",,True,True,,,False,{'freeParkingLot': True},"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,,False,True,True,True,True,True,True,True,True
ChIJH48DT9zkmUcRKhveGoFGiyc,"{'text': 'Morra Imbiss', 'languageCode': 'en'}",,False,True,,,False,{'freeParkingLot': True},{'acceptsCashOnly': True},,False,False,False,,False,,False,False,True,True,True,,True
ChIJbdl5MlblmUcRah5QRIPAcOE,"{'text': 'City Treff libanesischer Imbiss -Café - Bar', 'languageCode': 'de'}",,True,True,,,False,{'freeParkingLot': True},,True,,True,True,,False,,True,,True,True,,,True
ChIJtTclK-DkmUcRPwa7adA9-xs,"{'text': 'Sumalee Thai Imbiss', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsDebitCards': False, 'acceptsCashOnly': True, 'acceptsNfc': False}",True,False,False,,False,False,,False,,True,True,True,,True
ChIJcUF03eHkmUcRCZQIbEG1YXw,"{'text': 'Restaurant Reithaus', 'languageCode': 'en'}",,True,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}",,True,True,True,True,,False,False,True,True,True,True,,True,True
ChIJq0RPM-RmCUERF0gX2wQVdg4,"{'text': 'Waldgaststätte Goldersbachklause', 'languageCode': 'de'}",,False,True,,,False,,{'acceptsCashOnly': True},True,,True,True,,False,False,True,True,True,True,False,True,
ChIJy30wJWLlmUcRGJ40nGv8D-0,"{'text': 'Zum Albblick - Pfrondorf', 'languageCode': 'en'}",True,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}",,True,True,True,True,False,False,True,True,True,True,True,True,True,True
ChIJm1H70o3vmUcR0WZwseUvxp0,"{'text': 'Wanderheim Rauhalde', 'languageCode': 'en'}",,False,True,,,False,,{'acceptsCashOnly': True},True,,True,True,,False,False,True,,,,False,True,
ChIJwecUc47vmUcRBM6a6MMKtiU,"{'text': 'RAOUL RISTORANTE PIZZERIA', 'languageCode': 'en'}",True,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True, 'freeGarageParking': False}","{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,False,False,True,True,True,True,True,True,True,True
ChIJA_FmRxnjmUcRHn4gWdhC3LM,"{'text': 'Entringen Regenbogen Imbiss', 'languageCode': 'de'}",,,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}",{'acceptsCashOnly': True},False,False,False,False,False,False,,True,False,True,True,True,,True
ChIJw5-ZOBnjmUcRPyT8yovYOpc,"{'text': 'Restaurant & Ferienwohnung Ägäis', 'languageCode': 'de'}",True,True,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}",{'acceptsCashOnly': True},True,True,True,True,False,False,,True,True,True,True,True,True,True
ChIJzfpylmvjmUcRIKcqixozE10,"{'text': 'Schloss Hohenentringen', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': False, 'acceptsDebitCards': True, 'acceptsCashOnly': False}",True,True,True,True,,False,,True,True,True,True,True,True,False
ChIJRdMzCwDjmUcR2BT6lcz4jAU,"{'text': 'Biergarten Schloss Hohenentringen', 'languageCode': 'de'}",,,,,,,,,,,,,,,,,,,,,,
ChIJu799TxbjmUcRwZMZGgSPayc,"{'text': 'Alfred Bauer GmbH', 'languageCode': 'de'}",,False,True,,,,"{'freeParkingLot': True, 'freeStreetParking': True}",,True,True,True,True,,,,True,,,,,True,
ChIJO3k_Gf7kmUcRw8DOOAJfBak,"{'text': 'Landhotel Hirsch', 'languageCode': 'de'}",,False,True,,,False,"{'freeParkingLot': True, 'freeStreetParking': True}","{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,True,,True,True,True,True,True,,True,
ChIJQ90LhXzlmUcRM2dWhyTtXAg,"{'text': 'Ginger & Fred - Café und Kultur', 'languageCode': 'de'}",,False,True,,,,,{'acceptsCashOnly': True},True,,True,True,,False,True,True,True,False,,,True,
ChIJa8lCtLP6mUcREkdw8YsXSY0,"{'text': 'Rainbow Dance Factory', 'languageCode': 'de'}",,,,,,,,,,,,,,,,,,,,,,
ChIJ568fclxmCUER3Io5Wo4bDyc,"{'text': 'Sportheim TGV Entringen', 'languageCode': 'de'}",True,True,True,,,False,{'freeParkingLot': True},{'acceptsCashOnly': False},True,True,True,True,False,False,False,True,True,True,True,False,True,True
ChIJGUEaZwDjmUcRdEBXQx5TF-8,"{'text': 'Sportheim Mobil', 'languageCode': 'de'}",,,,,,,,,,,,,,,,,,,,,,
ChIJOXu42gHlmUcRGqtWRyGEimY,"{'text': 'Schranners Waldhorn', 'languageCode': 'de'}",,False,True,,,False,{'freeParkingLot': True},"{'acceptsCreditCards': True, 'acceptsDebitCards': True, 'acceptsCashOnly': False, 'acceptsNfc': True}",True,True,True,True,False,False,,True,True,True,True,True,True,
